reviewerName,stars,reviewTitle,reviewDate,body
commandershipp,5,Excellent Pickup,Oct 06 2023,"Does everything you want out of a Sony brand headphone and more. I found some of the auto options regarding sound cancelling and ambient passthrough to work well in most situations. If they don't, you can easily cut them off. So yeah, overall, very impressed so far."
illingwort0,5,Headphones arrived in great condition!,Feb 13 2024,"These headphones sound amazing especially with active noise cancelling! The fit is a bit tight at first and takes a while to get used to, but it is worth it! The case is also super helpful and has a compartment in the middle for the 3.5mm cable and USB-C charging cord. I would also say that you may need to be extra careful with these headphones at times because the plastic feels a bit fragile especially at the joint right above the ears where the cans rotate. Also these headphones do collect fingerprints very easily. You may want to put a cover or skin on them, but in my experience, they will not fit into the case afterwards, so you may have to choose between using the case or having no fingerprints on your headphones. Another thing is that the faux leather ear muffs may make you feel a bit hot after a while especially if your heater is running at home. But overall the sound quality is absolutely superb and the other aspects of the headphones are good enough to make these worth owning. "
dlurchs13,5,Happy with purchase.,Apr 30 2023,These are great! No real difference between these and the brand new ones I bought my daughter for Christmas. Very happy with these so far.
johnlandrum,5,Only TWO downsides!,Aug 15 2022,"Awesome in every way you can think of except two: The Active Noise Cancelling is kinda garbage. It only slightly ""dampens"" the sound. And the bluetooth latency is close to half of a second, I believe. The bluetooth latency is fine for me, because I would only ever use the bluetooth mode for listening to music on my phone. However, the ANC IS a problem, because it defeats the purpose of having Active Noise Cancelling in the first place. Otherwise, the sound quality is absolutely fantastic! I love the WH-1000XM5 so much!"
garmo2,5,Stellar Noise Cancelling with a Light Frame,Sep 21 2022,This product is excellent and extremely comfortable. The app is great and noise cancelling is the best feature. 
yux8719,4,Great product,Jun 03 2023,"Great product. Comfortable and easy to use. Noise cancelling works great. Don't know if it's a me thing but noise cancelling does put a bit of pressure in my ears. Also the detection for taking off and putting back on the headphones is a bit weird, sometimes not recognizing that it's not unpaused
Should note that this does not include charger or aux cable."
jac25278,4,Sound and Comfortability,Dec 08 2022,"Don’t get me wrong these headphones sound great. The noise cancellation is unmatched though I have heard better from other headphone’s transparency settings. These headphones are very lightweight but they are not as portable as I thought. You can’t really fold these headphones like you would the predecessor and the case is fairly large, but they are still none the less comfortable. If you are looking for top end zone-out headphones these are a great buy."
g-thani,5,Excellent pair of Headphones for everyday use and travel.,Jul 26 2023,"Pros:
Feels great (comfortable), sound is amazing, design and look are amazing, easily connects to phone.  

cons: Sony headphones app is very confusing, comes with a very short charging cable, controls on the headphone can get complicated since its mostly touchscreen. "
paulchang1129,5,WH 1000 XM5 is a great headphone,Dec 02 2023,"Sony WH-1000XM5 is comfortable and i can wear for hours without neck ache/or headache due to tight clamp or the weight of the headphone. 
It has great sound- the high pitch is sweet without hissing sound, mid is clear, and the low is powerful and well controlled. 
Bluetooth connection is quick.  "
desti.joana,5,Great headphones 🎧,Aug 15 2022,"I was reluctant to buy them since it is refurbished. I received them but and it gave me some headache during the update process. I was gonna return them. 

After the update, all my anger went away as it works better than I expected 🙃. The app is alright, the sound quality is great, and the battery life not too bad. I don't get the 30 hours more like 19 if I don't adjust the volume. "
sjc122870,5,Well worth the expense.,Dec 30 2022,"They have excellent clarity and volume.  I'm able to watch movies and understand what is being said.  The only issue is that I had to go through the online help guide and go through each of the settings in the Headphones Connect app to get everything working properly.  Since I am inexperienced in my knowledge of audio language and settings, it took me over a day to finally get it all setup to work well with my new Fire TV cube."
kylmcve_0,5,The Reviews Are Right,Sep 20 2022,"I’m not an audiophile. I haven’t tested all the latest headphones. I don’t know how to tune an equalizer to elicit the best possible sound out of every single song. But I do want the best possible headphones now, so they’ll be “current” as long as possible. All of that is to say I don’t buy headphones very often. For reference, My last headphones were wired. These headphones exceed every expectation. The sound is fantastic. They are comfortable and cool. And they are very user-friendly, once you know how to use the touch controls. I hope these will last a long time. "
3ix-83,5,As good as the ratings claim,Sep 24 2023,"I’m severely attached to Bose for all things audio. Twice I deviated and bought Sony products and regretted it immediately. After reading 4,000 reviews I thought I’d give Sony one more stab and they absolutely nailed it. Not super comfortable/get hot, but the sound quality doesn’t get better in this price range and the controls are totally intuitive."
mus_rj_ayooegag4,5,Best headphones EVER!,Mar 27 2023,"Fits comfortably over my head and around my ears. Easy to set up and start using. Sound quality and noise canceling are truly amazing. I would absolutely and without reservation, recommended the Sony WH-1000XM5! "
jef_piate,5,"High quality, pricey.",Mar 10 2023,"Unbelievable noise cancelation.  Nice sound, definitely glad I bought them.  Case is awkward and they do take up some space in my gym bag. Would definitely buy again. "
rngln-50,5,"Amazing, comfortable, right priced",Feb 02 2023,"A trip from El Paso - LAX - Sydney - Adelaide involved serious delays, in the end, I was listening to this product for at least 24 hours in total without discomfort, the noise cancelation was very good and the sound quality extraordinary, much better than Bose which I could not stand for more than 4 hours and the plane engine noise would leak non-stop. In addition my 3D, 8D, 12D audio experience makes me want more remixed material and for it to become main street."
lelui12cr,5,Great headphones for work and day life,Apr 15 2023,"This is an excellent product that I use on a daily basis. It is comfortable and ideal for making calls and listening to music. Moreover, it is highly convenient to use while traveling on airplanes."
adrian0502,5,Best headphones ever!,Oct 27 2022,I came from first gen air pod pros and these blow those out of the water. I realize they are different class of headphones but the noise cancellation on the Sony is soo much better. The design is really simple but still manages to look premium. 
ka805515,5,Good headphones,Oct 04 2022,Product arrived in perfect condition. The headphones has great bass and many other presets that will help you enjoy music. The noise cancelling is good but the ambient noise could be better. But other than that the headphones are amazing.
dawnlanddad,5,Does all as advertised by Sony.,Aug 29 2023,Wonderful sound. Very comfortable.  Can use during jogging.  Great battery life.  Excellent noise cancelling.  Wonderful phone quality.
merciless999,5,Fantastic Headphones Most Revolutionary Since Original QC15s,Nov 28 2023,I have owned different Bose and Sony headphones over the 14+ years and this is the most amazing pair since the original QC15s.   The clarity of the sound and the noise cancellation is absolutely top notch.   There is no issues with bluetooth connectivity what so ever.   Overall it is quite a qualitative jump over the XM4s!
pradyut,5,Best ANC and very good audio quality,Nov 25 2023,"Extraordinary noise cancelling, great audio quality. Still have to test on a long haul flight, but so far, very comfortable for prolonged use as well."
chtho-1007,5,Lightweight with great features,Oct 27 2023,Very good product
nguyenjr90504,5,One of the best NC wireless headphone that you could buy to date.,Nov 29 2022,"One of the best NC wireless headphone that you could buy to date. Sound good, super comfy and lightweight perfect for all day listening in the office or at home. Zoom, MS Team or WebEX meeting worked without any issue.  Highly recommended. :)  "
fhspirit,5,Best ever,Jul 14 2023,"Best headphones I have ever used. Beautiful sound, tremendous noise reduction,. classy styling, stays connected for long distances. Highly recommend.      "
daundaa0,5,Great producy,Sep 30 2022,All good brand new and sealed perfectlly delevered
edwiozolin_0,5,Best headphones I’ve ever had!,Feb 24 2023,I’ve looked over different reviews of Sony versus Bose versus apple headphones set and everywhere I’ve seen  at the best reviews on the Sony itself … and now I got them in person and they are the best. I verify that for sure. I’m very satisfied!
yamwt,5,Excellent,Aug 20 2022,"In my opinion, the Sony XM5 is better than the XM4 in terms of ANC and sound quality.  However, I find it to be a tiny bit less comfortable than the XM4.  It's worth the price."
gvjsmj11,5,eBay refurbished made a believer of me,Apr 23 2023,Can’t tell the difference between new and this refurbished product as it looks and performs like new
vegeta2006,5,Sony XM5 sounds great compared to my Bose which are also great,Apr 18 2023,Great set of headphones!!! Very clear and the sound is premium!
si_mon_ozn7,5,Excellent like-new product!,Feb 06 2023,"Fantastic headphones, case, and accessories! Indistinguishable from new, and the battery life and sound have been excellent so far. Thank you!"
rajmane_0,5,Pretty good,Dec 16 2022,"Except that I got this in a brand new box.
Everything else worked fine."
algro_4574,5,Best headphone ever,May 02 2023,So much better and more reliable than my garbage pair of bise qc35 that died after a few years of light use.  
simplellc,5,No Substitute!,Nov 06 2023,"The best there is no substitute I've bought them all from apple, jbl, senheiser, akg and bang. Sound is incredible and the battery lasts forever. Seldom have to charge."
bwag67,5,Magic-Best pair of anc I’ve ever had,Nov 06 2022,"Best pair of headphones I’ve ever owned. And I’ve owned about them all.
I’m a pilot and the Sony even beat my 1k Bose aviation headset as far as anc goes."
mxhrio,5,fanfic,May 13 2023,I love these. I eat with these. Poop with these. Drive with these. Make MHA fan fics wile listening to music with these. The whole package 
aaakshayzzz,5,Best Headphones,Apr 27 2023,Best Headphones I have ever used. Fantastic performance and great sound.
tee52378,5,Awesome headphones,Oct 09 2023,"The quality of the product and the sound quality these phones deliver are impressive and well worth the ""you get what you pay for"" price tag. They charge quickly and the charge lasts a long time."
njibo,5,Outstanding headphones!,Apr 19 2023,"Great sound, easy configuration and very comfortable! You can't go wrong with these headphones!"
mandingfro,5,Worth the investment,Feb 17 2024,Excellent sound quality. Love that it comes with a app for equalizer and other setting. Quick fast charge for on the go.
yusefdeeb,5,best headphone out there,Apr 20 2023,"I bought them for my son, i liked them so much that i ll buy myself a set as well, even though i don't like overhead earphones, but these made me love them :-)"
lucasurtlauf,5,Worth’s every cent,Feb 21 2024,"Absolutely recommended, sound quality it’s  great and the noise cancellation is amazing. 10/10."
vizwiz_0,5,They’re amazing and convenient to control,Nov 16 2023,It’s great has good sound comfortable an upgrade from my old headphones
brsm6426,5,Nice head phones,Apr 22 2023,"Very good headphones. The noise cancellation works very well and the ability to fine tune the EQ is appreciated. 

These were refurbished and arrived as good as new. "
adom4087,5,These headphones are superb!!!,Sep 09 2022,This pair of headphones is excellent in noise canceling and wonderful with the sound quality.  You will love them!!
altda-96,5,love it!,Sep 08 2023,looks great!!! feels great!!! i can tell its premium>
dandi1142,5,Awesome refurb,Dec 05 2022,"It does not come with the original Sony packaging (as expected). It looks, they feel like new!, recommended."
jorst8666,5,Ear love,Aug 18 2023,The sound on these are phenomenal and the battery life is 2nd to none.  
art.arkr.8n7a7m,5,Great on a plane,Jun 04 2023,I just used these on a plane for the first time. The noise cancelling is amazing. There was a crying baby near me and these were a miracle.
marzep-26,5,Best Headphones don’t get them wet,Nov 25 2022,"The noise cancellation was incredible, ignore the world level. But not your workout headphones and don’t wear in the rain… or you void the warranty. "
animeliz46,5,I love these headphones!,Feb 03 2024,I was skeptical but they came exactly as they said they would. They work perfectly and are not damaged in any way. Very comfy and I just love them!
outsideshopper,5,Great Product XM5.,Mar 25 2023,I upgraded from WH-1000XM2 to 5.  I significant improvement and enjoy my music to another level.  
jgru5722,4,It's Sony XM series so you know it's going to be good,Aug 09 2022,I don't know if it's a worthy upgrade of my XM4 but everything about it is at least as good or better.
afosso2012,5,"Very good headphone,",Nov 17 2022,"Sound quality is great, anc is great, lightweight and very comfortable "
bhargavramisett-0,5,Like new condition. Excellent value,Apr 17 2023,Great value for the price. More comfortable and sturdier than previous models 
mscjones,5,BoomTastic!,Oct 14 2023,"Great quality, lightweight, & sounds excellent. A must buy! "
malinkapink,5,Exceptional quality,Feb 10 2023,"Exceptional quality , very good design nice fit ."
joslo-9786,5,Perfect refurbished product,Dec 20 2023,"Great product - came exactly as advertised, seemed essentially new. It came with the accessories and case, all looked great."
cl_clape_qvdztztp,5,Great headphones,Dec 08 2022,"Great headphones, I just wish there was some way to workout with them but they’re very clear that you shouldn’t do that."
supersailam-0,5,Better anc than the mx4s.,Sep 09 2022,It's awesome.  just awesome. Awesome sauce?! Wtf who's responsible for the awesome sauce rating?! 🤣🤣🤣🤣🤣🤣
