reviewerName,stars,reviewLink,reviewMeta,body
Zen,3.0,https://www.amazon.com//gp/customer-reviews/R1AFI492PB673E/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on February 24 2024,"I purchased these headphones as I was going to be on flights for about 50+ hours round trip. Two of the flights were 16 hours long each and I had hoped that these headphones will provide the noise cancellation so I can sleep. After reading so many reviews, I was hopeful that they will cancel out almost all of the noise on a plane. However, I found that this was not the case. I was able to hear almost everything like crying babies and people talking loudly, it muffled the sound, but it was still loud enough for me not to be able to sleep. They did drown out most of the plane ambient sound like engine noise. When I used them with earplugs in my ears, they helped cut out most of the sound. So that’s what I did for the plane journey where there were three crying babies around me.

If I listen to music with these headphones on, then they definitely cut out more sound than when I just run the noise cancellation. I had downloaded the app and tried to adjust the settings on that for better performance, but did not notice a big change. I don’t like using earbuds like AirPods, but I find that these are barely any better than my AirPods 2. They are very comfortable though, and I prefer them over the bulky AirPods Max. The sound is also pretty decent, but my main purpose was noise cancellation and it was a bit of letdown.

The battery life is truly phenomenal and lasted my journey of 25+ hours, with just one charge. They get sweaty only after multiple hours of usage, but better than anything else I have owned, these are the only headphones I was able to wear for 6 to 7 hours straight.

I will carry them on any longer plane journey because they are better than anything else I own currently, but for this price I had hoped for even better noise cancellation."
Cliente de Amazon,Verified,https://www.amazon.com/null,Reviewed in Mexico on March 5 2024,Están increíbles!
"El micrófono es malo  no aísla el sonido del ambiente y en videollamadas tienes que hablar fuerte para que no se escuche alrededor. Por otro lado, el aislamiento a los oídos es muy bueno.",Verified,https://www.amazon.com/null,Reviewed in Mexico on December 14 2023,"Es muy malo el aislamiento del medio ambiente para los micrófonos a la hora de estar en una reunión de zoom, Microsoft teams, etc. no aísla el sonido, voces y ruido de al rededor estando en una oficina con más gente hablando"
Juan Orozco,Verified,https://www.amazon.com/null,Reviewed in Mexico on October 13 2023,Sin reemplazo de mis xm4. Muy buen producto. Importante tener en cuenta que no hay que sudar mientras se usan o mojarlos.
Valeria,5.0,https://www.amazon.com//gp/customer-reviews/R1H4HYY54ZP44S/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on March 18 2024,I was gifted this product for my birthday and I'm incredibly happy with it. The quality of the noise and noise cancelling is top notch. They are easy to customize and the controls are simple and straightforward. The battery lasts for a long time. I've had these for 2 months and have charged them only 2 times.
Dat Boi Schmitty,5.0,https://www.amazon.com//gp/customer-reviews/RDUMGQJ31YY36/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on March 17 2024,"First word that came to my mind when opening and putting these on my head was ""woah"", like, i deff see why these are 500 dollars forsure, then when you turn them on and play some juice wrld... HOLY HELL🥺😩 ""ANYTIME ANYDAY, JUST TO TAKE THE PAIN AWAY"" yeah these are by far the best headphones ive ever owned, i used to be so loyal to beats and year by year their sound quality and volume got lower and lower, so i finnally decided to reach outside of beats and im glad i chose these"
Robabeh Bashiri,5.0,https://www.amazon.com//gp/customer-reviews/R17B5EVEYTLZNE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on March 15 2024,"It is perfect and I use it whole day, everyday……"
aran,3.0,https://www.amazon.com//gp/customer-reviews/R23LH1LCLFZ4U6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on March 15 2024,"I much preferred the design of the XM4 and XM3 -- especially the XM3, the top band was squishier and much, much, more comfortable than either model that came after. On this latest model, the XM5, they removed the hinges on the frame that made previous models collapsible, making it much less portable and annoying to travel with as the travel case and overall footprint is noticeably larger."
Corey,4.0,https://www.amazon.com//gp/customer-reviews/R1B14CBJUCSZUD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on February 27 2024,"Sound quality and noise cancelling are exceptional. Only problem is the touch pad starts registering ghost inputs, and has to be disabled. I have had this happen on 2 different units. It worked great before it went wrong. It's still usable with external controls but a real bummer to lose headset controls."
Joe,5.0,https://www.amazon.com//gp/customer-reviews/R2CD8JMF899ZV6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on February 26 2024,"I walk & take public transportation, and the XM5’s are remarkable for both phone and music. Absolutely amazing. Well done, Sony!!"
annastacia,5.0,https://www.amazon.com//gp/customer-reviews/R3JL08RUGYJYYD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on February 24 2024,Ive had for months and i love them!
T.J. Turgeon,5.0,https://www.amazon.com//gp/customer-reviews/R1KRP5HICTF16P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on February 23 2024,I bought a pair of noise reduction headphones years ago to reduce noise while I worked in a noisy environment. These headphones are much much better. When the noise reduction is active I hear almost nothing. I only hear the audio that is streaming via Bluetooth. The audio is clear with good bass.
Sabrina,5.0,https://www.amazon.com//gp/customer-reviews/R18IRNIGY8JTA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on February 19 2024,"These headphones are fabulous to use for studying. It's what I use them for. I like that after wearing them for over an hour, my ears don't hurt. It's a great purchase to make when they are on sale."
Austin Danger Powers,5.0,https://www.amazon.com//gp/customer-reviews/R1RPK9XYQIXM2H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on February 19 2024,Suppresses neighbors noisy shenanigans
Stacey Cole,4.0,https://www.amazon.com//gp/customer-reviews/R3OH3JNHQISCHA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on February 18 2024,"The portability, the ear muffs don't fold like the previous model. The head band is not comfortable on bald heads."
Tyronne,Verified,https://www.amazon.com/null,Reviewed in Australia on March 15 2023,"Sony’s again leaning on a one-two punch of both LDAC codec and DSEE Extreme support here to offer the best possible sound quality from your connected devices. LDAC is your hi-resolution audio option, compressing and decompressing tracks on the fly to deliver much greater wireless bandwidth than a standard Bluetooth connection could conjure. But even if you’re on a lowly standard-resolution streaming service over Bluetooth, DSEE Extreme ekes out a little more detail by using AI upscaling techniques to restore some of the audio data which would otherwise be lost. Both do a great job."
Jason,Verified,https://www.amazon.com/null,Reviewed in Australia on December 26 2022,"Any moisture stops them working properly. We had some humid weather and now they’re glitching. Siri activates for no particular reason, headset doesn’t pause music when removed and other bugs. I had the same issue with the XM4 headset. They’re great, but don’t expect them to last long in humid areas."
Nina Monger,Verified,https://www.amazon.com/null,Reviewed in Australia on August 8 2022,"There's nothing I dislike about these headphones.
I bought them for noise cancelling and they do the job very well. I live in a noisy apartment building where nobody gives a crap about anyone else.
They're also comfortable to wear for long periods."
User93872,2.0,https://www.amazon.com//gp/customer-reviews/RD2KVXH0OUC8W/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 23 2024,"Comfortable, but I don't get much sound cancelation no matter what setting I use? I'm not sure if I got a defective pair, user error, or maybe my expectations were too high. Sound quality is good, however that's not what I bought them for."
Amazon Customer,4.0,https://www.amazon.com//gp/customer-reviews/R156H12SP8S1T6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 13 2024,great headphones- did not come with charging cord as advertised
Nathan W.,1.0,https://www.amazon.com//gp/customer-reviews/R29AEU9SPG8JEK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 6 2024,"There's a lot to like about these headphones: light, good ANC controls, good app, good sound if you find the right EQ settings and lots of features.

But there are a lot of cons to them as well: bluetooth does not auto connect well and I have to constantly reconnect my devises, volume do not sync well or even at all with some devises and can suddenly jump to dangerously high levels without notice, which can cause hearing damage, and the ear cups are very shallow and get hot quickly.

That adds up to a lot of flaws for one of the most expensive headphones on the market. I tried these next to the Bose 700 and like the Bose better overall. They don't nearly have as many features, but they stay connected to multiple devises without any hassle, the sound is superior and the volume is consistent."
Joe,5.0,https://www.amazon.com//gp/customer-reviews/R2CD8JMF899ZV6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on February 26 2024,"I walk & take public transportation, and the XM5’s are remarkable for both phone and music. Absolutely amazing. Well done, Sony!!"
juanda,5.0,https://www.amazon.com//gp/customer-reviews/R1QJX8507A9N25/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on February 22 2024,"I had the airpods max before these and they broke 1 year and 8 months in. Compared to the airpods these are insanely comfy and the quality is most likely the same if not better, plus having an off button is the best thing that's ever happened to me. These are perfect and worth the price!"
Curious George,1.0,https://www.amazon.com//gp/customer-reviews/RXF77YBNG1TRH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0CFSD4TSQ,Reviewed in the United States on January 17 2024,"I was really enjoying these $400 headphones until, one time, they fell of my head and onto the hard floor. And that was it. The headband loop broke at a very inconvenient place: right where the ear muff rotates. And now that it did, I can see why: yes the retractable parts are made of metal, but the metal ends exactly at the rotation ring, and at this point, it is hollow flimsy plastic!!!
And when you call Sony to ask for warranty, they say ""Sorry, breakage is not covered under warranty!"".
Then you go to Reddit r/sony, and there are a whole pile of people there with broken Sony WH-1000MX5, exactly like mine.
Shame on you Sony, you designed great noise cancelling and comfortable ear cushions, but you couldn't design a sturdy headphone, and then you pretend you don't know about the breakability problem?
I also own a Bose NC700 for like 3-4 years now which I have dropped a hundred times, and from very high up on a ladder doing construction work, and they have never broken! Also they still look brand new!
Whereas the Sony WH-1000MX5, the ""skin"" on the outer shell of the earmuffs: It wears off and peels very easily, just from normal use, and very quickly they look old."
Soham,Verified,https://www.amazon.com/null,Reviewed in Mexico on March 15 2024,"La experiencia de audio es de lo mejor que he escuchado, las almohadillas son muy suaves y cómodas, y el diseño es muy simplistas pero cumple con lo requerido para que sean confortables.los use en el gimnasio pero la verdad no lo recomendaría ya que te suda mucho la oreja y si te los estás quitando y poniendo se pueden dañar, definitivamente no son para entrenar. Si los usas para viajes o trabajo son muy buenos y el control touch muy práctico. Si valen la pena."
Taniah Brown,3.0,https://www.amazon.com//gp/customer-reviews/R3CPF6LLJMGBUQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on March 23 2024,"They work really good great noise canceling and everything sound quality is amazing and the Sony app really boosts the listening experience. Downside is they aren't very durable, I bought mine in July last yr and a few weeks ago I go to put them on and they're broken. also be aware that the limited warranty sony provides doesn't cover physical damage which sucks bc its like they know how poorly the product is made and don't want to deal with the consequences."
SteveG,3.0,https://www.amazon.com//gp/customer-reviews/R1H0RR1FFZ3EPG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on March 14 2024,"Bad sound quality good anc.
But still unless you travel a lot don’t buy this. The sound quality is bad compared to others."
Wolf Tijuana,5.0,https://www.amazon.com//gp/customer-reviews/R2LIYNDOXFTAGI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on March 8 2024,Great quality. I love that you can easily turn on and off the noise canceling. They are comfortable and easy to use. Can easily pause and skip songs. Chatge last for many hours. Best headphones ive ever owned.
Elias Sayegh,5.0,https://www.amazon.com//gp/customer-reviews/R2ECPBZ8ROFEC4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on March 3 2024,I am a big fan of Sony headphones. I previously had the first generation of Sony noise cancellation headphones (Sony WH-1000XM1) and it still works great. I upgraded to this one (Sony WH-1000XM5) and it was a worthy decision. While others might negatively comment on Sony's design change (not foldable) I am perfectly fine with it. I heavily use these headphones at work for meetings and calls and in other places such as coffee shops or during travels in airplanes. I heavily recommend these headphones.
Amazon Customer,3.0,https://www.amazon.com//gp/customer-reviews/RMR8RSITTWN5H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on February 21 2024,"I bought this headset to replace a pair of Bose QC 35 ii I had previously used at work, as the bluetooth kept failing and the sound was starting to have issues.

I've owned the Sony headphones now since the end of Nov 2023, which feels like a decent enough time to give a well informed body of the product.

Pros: Excellent noise cancellation. The location based customization is fun, but ultimately when I'm wearing these I'm at work and pretty much just need as much noise cancelled out as possible to avoid distractions. The music quality is also nice, though my main concern for headphones was to be able to focus in a noisy office setting.

Cons: This headphone has issues working with teams video calls and zoom. I've looked through tutorials and troubleshooting to fix the settings, but I'm having to fix the settings before EACH call to make it work. I would suggest either getting a separate headset for those video calls, or consider another option for headphones. This was never an issue I experienced with the Bose.

The headphone case it came in is nice, but I had problems with the zipper immediately. It's been incredibly frustrating having to struggle with a faulty zipper just to get my headphones out so I can start my day. I've already had to undo part of the seam to reset the zipper twice, and will likely just replace the case or attach some velcro to keep the case closed. I have a hybrid work schedule, so having a semi hard case to protect the headphones matters to me.

In sum, if your main concern is noise cancellation and you have infrequent video calls, I would strongly recommend this product. Otherwise, there are likely better options on the market."
Ryan,5.0,https://www.amazon.com//gp/customer-reviews/RD1KBOOEZR986/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on February 17 2024,"I've had these headphones (which I bought refurbished off Amazon) for almost a year now and they're nothing short of phenomenal! Sony is really good at maintaining the application tied to the headphone user and the fact that I've recieved a number of helpful updates since buying these headphones has been great. I use these everyday for casual gaming, studying, and going to the gym. I recommend being cautious when using these when you're sweating a lot at the gym due to the sensors having an affect on sweat. I've noticed that the detection system build into the headphones doesn't necessarily work anymore due to how often I've sweated while wearing these headphones. One annoyance that I have is the ""Speak to Chat Feature"" which keeps turning on whenever I talk at the gym. It might just be my headphones in particular but even if I go into the app and manually select to turn this feature off, it some how keeps coming back and turns itself on again. This is frustrating when you're in the middle of a set while exercising and then all of asudden the headphones pause the music and ambient mode is turned on. Regardless, amazing headphones and I'd recommend them for anyone. I was hesitant to buy these initially due to everyone stating they do not hold up well in the gym but they still function well enough for my liking!

In the second photo I posted, you can see the slight stain marks caused by usage in the gym. If you want to avoid this, getting the black colored headphones might be recommended. However, I have been able to clean these stains out with a cleaning wipe. Plus, these headphones don't leave finger prints on the headphones which I know first hand that the black ones do (which was annoying hence why I got the white ones)."
Ford Prefect,1.0,https://www.amazon.com//gp/customer-reviews/R5NOGJFY3C244/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09ZFD9CBB,Reviewed in the United States on February 26 2024,"Just like the Sony Wh1000mx4, after two weeks this headset, with no sign of damage began cutting off my phone connections!! I really like the easy rewind for audiobooks/podcasts,but This. Is. Not. Acceptable!!"
Yanchen Yu,Verified,https://www.amazon.com/null,Reviewed in Australia on March 22 2024,"Although Sony is not good at design an app or a smartphone, but I must confess that this may the best head phone you can buy, it is very comfortable, you can wear it while you are sleeping.
When I open spotify and start to listen music, I was shocked, It plays just as well as my wired headphones. And it can eliminate almost all the noise from outside, that can make me enjoy the music completely.
But the material collects the fingerprint just as efficient as my black Macbook, if you in favor of this guy, make sure you have time to clean it once a day."
Alexander Jones,Verified,https://www.amazon.com/null,Reviewed in Australia on June 20 2023,"The headband is as narrow as a knives edge, causing unbearable discomfort as it rests on my head. The noise cancellation and sound quality are the best I've experienced for a wireless ANC headset, and I wish I could've kept them, but I had to return them because of the pain."
Laurence,Verified,https://www.amazon.com/null,Reviewed in Australia on December 20 2022,"I also have XM4s and these are just another step up, nothing else really compares to the quality and battery life these have."
Kindle Customer,1.0,https://www.amazon.com//gp/customer-reviews/R1XAESLKTONS4I/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 14 2024,I would have LOVED these if they had worked. The charge would not work.
Wolf Tijuana,5.0,https://www.amazon.com//gp/customer-reviews/R2LIYNDOXFTAGI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 8 2024,Great quality. I love that you can easily turn on and off the noise canceling. They are comfortable and easy to use. Can easily pause and skip songs. Chatge last for many hours. Best headphones ive ever owned.
that s,1.0,https://www.amazon.com//gp/customer-reviews/R2YVH11JSH4HAV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 1 2024,"Very unintuitive speak-to-chat feature.
It can be turned on by accident. you cannot close it easily. Be prepared for that to ruin your important meetings.
Bunch of random and useless features on the App. Understand you are an earphone product but not a free-to-play game!!!
The new era of the Sony product team is bad."
GREATT,5.0,https://www.amazon.com//gp/customer-reviews/R1VWM99Q90J0QH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on February 27 2024,Awesome.
Amanda Kamal,5.0,https://www.amazon.com//gp/customer-reviews/R2PF1CLVPMZ2JQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on February 23 2024,"Amazing headphones for the gym and at home. Don’t skip, noise cancellation is incredible, and they’re beyond comfortable. Was debating between these and AirPods Max but I’m incredibly I went with these. The option on the right side to swipe to change music, tap to pause is revolutionary. Don’t hesitate!"
Killian,5.0,https://www.amazon.com//gp/customer-reviews/RFGWI7OAEO7AZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on February 19 2024,"Came in a relatively fast manner, came as described. Great headphones, i bought these for my girlfriend because i love the pair i have so much."
Jeremy C,5.0,https://www.amazon.com//gp/customer-reviews/RA8MOYY5LS2L3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on February 17 2024,"These headphones to everything I want them to do. They sound great, have great battery life, and easy to use touch controls.

The noise cancellation could be slightly better, but nothing is perfect. Down the road, I also worry a bit about the matte rubberized coating coming off like it tends to do on plastic products over time, but for now, these are great.

The included case is a bonus. Makes them far less prone to damage when travelling."
FD,3.0,https://www.amazon.com//gp/customer-reviews/R3JVU3MBWGBJ9Z/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on February 16 2024,"This is another great product from Sony. However is over priced.
It has great sound, good noise cancellation and amazing battery life.
The downsides:
Extremely expensive (the performance does not justify the price).
Noise cancellation: if you take the headset off for a seconds, the noise cancellation functions goes away... crazy setting! you need to switch off and on again. Very annoying.
Volume control: Sony decided to play Star Wars and removed the volume at all! same with any other switch that previous headset had... so now you only have a power-on switch, that it is! and to pair and control the volume I have the following word for you: GOOD LUCK!
The volume works with sliding you finger up or down. If you want to pause to tap twice. But hold on there, that you need to tap in the right spot, otherwise does not work (you might find yourself tapping your headset while walking, and it is hard to aim for the same spot!). The same with volume up and down. For some design reasons, the volume works in phases, so if you want to lower fully, you cannot, you are only able to lower bit by bit, repeating the action several times to get to the right volume. It is ridiculous. Takes a hell of a time and keep you busy with the device instead of enjoying your music/sound.
The issue is very similar than the smart watches that has digital (virtual) control over functions, instead of having a wheel that you can operate with your fingers any time, including while wearing gloves. If you have your hand wet or you are on the move, it is basically impossible to operate the device. The mechanical wheel is the answer. The same with this headset: why the hell Sony removed the volume and pairing buttons? I wont buy the next generation of headset if they carry on this way.
The device (headset) has been thought in a engineering environment, by engineers, not users. So it works precisely as the engineers defined, under the perfect conditions BUT life of the user is different. Try to volume up while entering a plane and having to carry your hand suitcase: impossible. Try to pair quickly with your rental car while on the go: impossible. The Sony headsets are a good piece of engineering but has huge challenges. My advise is to buy something alternative and not to spent so huge amount of money for a product that aim to re-invent the headset. Previous Sony headset did the job, was so hard to just improve on the comfort, the battery life and noise cancellation without the need of removing all switches in this new model? Avoid this model or learn to spend more time to try to control it than enjoying your music !"
Peter,1.0,https://www.amazon.com//gp/customer-reviews/R33SHK9KOA6UP8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on February 16 2024,"Amazon deletes my honest reviews, that should tell you something. I don't like this product and I have rights to share my own experience. Of course you have rights to read the reviews and make up your mind. What's so complicated about that?"
Francis S8,Verified,https://www.amazon.com/null,Reviewed in Mexico on November 21 2023,"Sonido muy normal, tengo unos sony wf xb700 y no noto diferencia en la calidad de sonido , pense que estarian a otro nivel , he de decir que en cuestion de la cancelacion de ruido son buenos y tambien son muy comodos , pero me decepciono la calidad de sonido."
Maria Gray,3.0,https://www.amazon.com//gp/customer-reviews/R1IXGARMZQR7T4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on March 27 2024,If you’re mainly interested in noise cancelling then I would go with the xm4s. The xm5s don’t have a feature to optimize noise cancelling based on environment so I winds up being ineffective in cancelling out noise 80% or the time. However I will say if you only care about sound quality then there is a noticeable upgrade in quality from previous gens. IMO I would say steer away from these if you are looking for good noise cancelling
Stacy Warren,5.0,https://www.amazon.com//gp/customer-reviews/RP8471HGKSN77/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on March 26 2024,Been looking for this type of headphones for awhile and these are great
Vladlen P.,2.0,https://www.amazon.com//gp/customer-reviews/R1APDOX6WS1PMS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on March 16 2024,"I really liked the sound of these noise cancelling headphones. Unfortunately, the one of the hinges had a crack and fell out of the socket. The wires are still intact, but you can't wear them on the head anymore. I did a research and it turns out that it's a very common problem for this model. What 's more - this damage might not be covered under the manufacturer's warranty. Don't buy them, unless you are planning to replace them within a year or so."
Rachel,5.0,https://www.amazon.com//gp/customer-reviews/R250958U8AFR0J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on March 3 2024,"These headphones may honestly be the best purchase I’ve ever made. I recently started a new job in a busy office building. I have very sensitive hearing, which means that I get distracted SO easily. I can’t focus at all whenever there is noise around me. So, I decided it was time to invest in some high quality comfortable headphones.

I wear these headphones for about 8 hours a day, 5 days a week. Believe me when I say that I have never once felt uncomfortable while wearing these. The material is soft and lightweight—perfect for all day use. The controls are intuitive, too. My favorite feature of the headphones is that they turn into a microphone whenever I’m talking to someone, which means that I don’t have to take off my headphones every time I want to have a conversation. I can also quickly let noise in (like an announcement from my manager) by placing my palm over my right ear. This has come in handy many times!

The battery life is incredible, as is the sound quality. The noise cancellation technology is insanely good. I am seriously impressed by all of the amazing technology that is featured within these headphones. Thank you to Sony for saving my sanity at work!!!"
that s,1.0,https://www.amazon.com//gp/customer-reviews/R2YVH11JSH4HAV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on March 1 2024,"Very unintuitive speak-to-chat feature.
It can be turned on by accident. you cannot close it easily. Be prepared for that to ruin your important meetings.
Bunch of random and useless features on the App. Understand you are an earphone product but not a free-to-play game!!!
The new era of the Sony product team is bad."
