reviewerName,stars,reviewTitle,reviewDate,body
Ethan,3,there alright,2/24/2024,"they are just ok dont feel they are worth the price tag, seem smaller the previous model."
Mystery,5,Gym Boost,11/25/2023,"Love these headphones, noise canceling or reduction either if you prefer, it's amazing and easy to use plus easy to clean."
sean,5,personal experience,11/21/2023,they made my last flights much more comfortable by being able to listen to the music and movies with no background noise.
Cheryl,5,"",1/1/2024,Gift for my nephew..he loves them
EFerg,5,Extreme quality sound and product!,10/9/2022,"[This review was collected as part of a promotion.] Sony WH-1000XM5 has an excellent quality on sound, product and presentation! Again, Sony doesn't disappoint. The product presentation was high class. The case that stores the headphones is super nice and has a spot for the cables. Let's get to the good part, sound. The noise canceling was very noticeable. The sound is, quality to the max! I watched a movie and it was great, I took a phone call and it was great. The phone call, person on other end could kinda hear a conversation going on in background (about 6ft away) but my voice was the more prominent. I love the memory foam cushions around the ear and headband which makes for hours of listening time. Connection to my phone was a breeze."
Corrina47,5,Just great,10/1/2022,"[This review was collected as part of a promotion.] Wow, these Sony Wireless Noise Canceling Headphones are great. They cancel out all noise, they feel so comfortable over my ears, they are very stylish. They are made for iPhone/iPad and it also has Alexa built in. I highly recommend these Sony Wireless Noise Canceling Headphones."
kkelly,4,Great Noise Canceling Sony Headphones!,10/7/2022,"[This review was collected as part of a promotion.] These Sony Noise Canceling headphones are excellent! So many great features with these headphones and has a great collapsible carrying case and the charge last up to 30 hours. These wireless headphones are comfortable and have touch controls so you can pause, play or control the volume."
Moe,2,"OK Device, Egregious Price, Music Lovers Be Warned",4/1/2023,"I had high expectation and boy was I disappointed! $400 price tag? Nope. Sound: The drivers are fairly capable and the built-in amplification is adequate, giving these headphones pretty good definition, and I could hear details clearly. But that's about where the good news end: the tonality is horrible. Deeply boosted low end takes away energy from low-mid; high-mid is okay but not as tamed and smooth as it should be, resulting sometimes harsh and sibilant treble; highs over 10k Hz are just nonexistent. The EQ with the companion app is rather useless in that there are so few bands to choose from, and non of the bands they've provided can fix the troubled frequency regions. I've tried all possible combinations and it was impossible to make it sound anywhere natural and musical enough for any genre other than maybe Pop and Hip-hop. The wired connection has an even worse frequency response profile so I think it's safe to say Sony did not intend this pair of headphones for Hi-fi listeners at all, which makes their LDAC gimmick completely useless here. Comfort: Padding is the shallowest I've ever seen on any headphones, and the headbands are a curious circular shaped. The result? It starts to become irritatingly uncomfortable for me after just 20 minutes of wearing. I keep finding myself needing to adjust it from time to time, while my studio monitors can fit comfily for hours at a time. ANC: coming from ANC earbuds mostly, XM5's system sound and feel weak to me. When compared to Airpods Pro 2, it felt quite different with more high frequencies but less low frequencies dampened. Maybe not worse, but certainly not better either. But compared to Bose QuietComfort Earbuds II? It is noticeably less effective, which it really shouldn't be given the high price tag. Verdict: musicality wise the XM5 will lose to most wired studio headphones $150 and above; convenience wise it will lose to most TWS earbuds; ANC is ok but definitely not top-notch; and it has questionable ergonomics. I love Sony's studio headphones but this one, it simply ain't it. If the XM5 retails for $250 and goes on sale for $200, it might be a competent pick; but as it stands for now, there are simply superior options at lower prices, making it IMHO a worthless buy for just about everyone. 3 stars for the hardware, minus one for the absurd price."
dhhsciences,5,Good and Solid,10/13/2023,Tested them all. This is the best one I tried so far.
Jonathan,5,It was easy and the price was right,9/2/2023,It was easy and the price was right
HC,4,Solid headphones,11/14/2023,Solid build quality and sound.
the greek god,5,replacement for JBL,9/4/2023,"these are a replacement for JBL headphones, i am very pleased"
Happy in So Cal,5,Great Product!,6/28/2023,"Bought it a few months back and works as advertised. No issues, comfortable to wear and sounds great!"
The_Scient1st,5,My new go-to headphones,7/5/2022,"These are absolutely amazing. I recently took them on a trip and first of all the noise cancelling made it so I could barely hear anything of the plane engine while I was flying. The sound quality is crystal clear, and all of the smart functions are very very cool. I also like this case a lot compared to older ones (I also have a pair of h.ear MDR-100ABN) because it is flatter and has a nice compartment for the wires. Overall, it feels like Sony has thought through every aspect of how to make an excellent headphone and executed it."
HolyJoe,5,"Long-lasting, good noise-cancelling",2/13/2023,"Battery: I wear my headphones the whole day (5-10 hours) listening to music and attending Zoom calls. These headphones last anywhere from 2-4 days depending on the use, and they charge really fast (one time, 50% in 30 minutes). Sound: They sound great! Sometimes when Discord (which means this might be a problem with Discord) uses the headphone as input at the same time as output, everything sounds terrible. However, when I use my actual separate mic, the issue is fixed immediately. Mic: do not use so I don't know Hand motions: Very easy to use and handy, especially on mobile Noise cancelling: The noise cancelling is so good I don't hear when people open my office door that is about 10 feet away from me. I wore them on the plane the other day and they worked great. The only problem is when the headphones don't completely cover your ears, the noise cancelling effect is useless on the plane. This presents a problem when I'm chewing, for example, because every time my jaw opens it creates a little space between ear and headphone. This is only a problem on the plane; otherwise chewing does not noticeably affect noise cancelling. Overall, I am very happy with the noise cancelling. These are my first noise-cancelling headphones, though, so I don't have much to compare them to. Connection: Once paired, these headphones connect to my computer within 5 seconds of turning both devices on. Usually I use them while I'm sitting right in front of my computer, and I very rarely have problems with songs ""buffering"" or cutting out for a split second. Being further away, (15-50 feet is the range I've tried) this buffering is more common, sometimes happening more than every 10 seconds, but sometimes not happening at all."
Irish99,3,"Great speaker sound, poor microphones",2/1/2023,"This is a great set of headphones, typical for Sony, in terms of construction and output sound quality. But the integral microphone does not live up to the description. Even when used in a quiet room, it does work as well as even an inexpensive boom microphone."
Sergon,5,Improved quality,6/3/2022,"WH-1000XM5 has a more balanced frequency response compared to the WH-1000XM3. It also does a better job with noise canceling. I really enjoyed the fact that you don't feel as much pressure in your ears due to the ANC, and I find myself using the headphones microphone this time around due to the improved microphone and it does a decent job at canceling the surrounding noise. The added features makes this headphones easier to use and it seems to be more responsive to inputs."
Marlvern,1,"",6/19/2023,"they are just overrated, you can't jog with these they are too big 🙆🏿‍♂️ lm return them"
BSLMPP,5,Amazing Noise Canceling and Sound,6/14/2022,"I upgraded from the Xm-2 for the Xm-5, and am very glad I did. Wonderful headphone, with class leading noise canceling and sound. They are also very light and completely comfortable and create no fatigue after extended listening."
BabyGQsuave,5,"Great features, comfortable to wear, Great App.",10/4/2022,Bought it about a month and half ago. I love the sony app and it's EQ settings. Very comfortable to wear for long periods of time. ANC is amazing and almost on par with Bose! Overall great product no regrets on purchasing.
zihaooo,5,A headphone close to perfect,2/13/2023,"Pros: Comfortable, Good on ANC, High-quality audio when using wire. Cons: Annoying touch/gesture functions, cannot use the microphone when using wire."
wineconcierge,5,superb stuff,7/5/2022,they live up to the hype. very comfortable and shield quite a bit of airplane noise and screaming babies. able to focus when wearing. great phone mic. haven't tested the music quality
Pastorptcc,5,Love them,9/30/2022,"I bought these about a month ago because I deal with tinnitus I need a good noise canceling headphones. These are amazing, best headphones I’ve ever had."
Blueberry333,4,Sounds amazing but battery life is not good,6/27/2022,"It seems like they die quickly, I charge them fully and they only last like 3 days. When I only listen to them a couple of hours a day. I don’t think they last 80 hours at all."
suitmar13,1,No Durability,12/10/2022,"Yes, this is one of the greatest headphones ever, but it's not that durable, as the earcups is dangling off. I would rather spend my money on the xm4. Don't buy this. Not a great product."
Mrmoemoe,5,Awesome Headphones,11/22/2022,After having the XM's4 I had to upgrade too the xm5 and believe me they are worth the upgrade...
Trevor,4,The new standard for best ANC,10/6/2022,"[This review was collected as part of a promotion.] Look no further for your new headphones, these are it. Unboxing alone is a treat with these headphones. Throw the box in the recycle bin and you're good to go. It is a little sad to see no quick start guide with the included paperwork however. The quick start guide is now a QR code on the box containing the legal paperwork (which is only two sheets, so it's not that much). The headphone case has a nice feel to it and has a nice magnetized compartment for holding the USB-C cable as well as an aux. cable. The USB-C cable is actually rather sad because it is only a 6"" long cable that will really only get you by in a pinch. The compartment in the case is rather small, so I assume 6"" is the best fit, and you most likely already have a good USB-C charger, so having this stowed away for emergency use is probably the best idea. Aside from that, you are treated to the main course - the head phones themselves. I work in an office environment and tend to wear my headphones for ~6-8 hours a day while at my desk. These things are a dream. They are super lightweight and, while noticeable, certainly aren't a burden on my head. The cushioning is super soft and very pleasant on the head and ears. The finish on these headphones is a nice matte black - however, it is very prone to smudges and markings especially with any amount of grease or any residue on your hands/fingers (so make sure you wash your hands!). Turning on the headphones brings me into a completely new environment. I have a constant ~50 dB fan blowing behind me in my office and while I can still head it through the ANC it's only barely there - and that's with no audio playing in the headphones. Gone are the sounds of the AC/Heater and any footsteps or quiet talking in the halls. And then you get audio playing and everything in your room completely disappears to the sounds coming from your headphones. The ANC on these is amazing. There is no white noise that the headphones create when cancelling the sound like other ANC headphones. They really are next level. And the audio is really good with the headphones. I am no audiophile, but I feel like the sound is a little closed, otherwise, everything sounds great. On the other end of the spectrum is the ambient mode. It's not as good, unfortunately. When using strictly the ambient mode loud clicks in the environment will make an ugly popping sound in the headphones - I don't think this is intentional, but it seems like this only happens with high frequency sounds (mine came from a multi-tool deploying and locking a tool). The ambient quality is also a bit grainy. With this is the speak-to-chat feature (deployable through the app). This works as intended and is a nice to have feature. It completely pauses the music and switches to ambient mode when it detects your voice. It might be best to have the option to quiet the music instead of completely pausing it which comes to the next point. Covering the right ear quiets the music and temporarily switches to ambient mode - this is perfection. It allows you to hold a conversation while keeping your music playing in the background. Awesome feature. The touch controls on this are finally a set of touch controls that I like. Double-tap to play/pause, swipe up/down for volume up/down, forward and back for next/previous song. Simple, easy, and intentional. The double-tap for play/pause is especially a nice touch as it negates an accidental touch as an input or adjusting your headphones as an input. Overall, these are fantastic headphones and definitely a pair that you should pick up. There is a reason for 4/5 starts, though - they can be better. While ANC is amazing, ambient isn't as good. The app has potential to make a lot of different customizations available as well. There are things to improve, but overall, a great set that is worth being on your head."
Jan1968,5,great sound,10/4/2022,[This review was collected as part of a promotion.] i recently got these headphones and i got to say these are comfortable and the sound is great and they cancel the noise and all you hear is the music and nothing else and it was easy setup to connect to my phone These are the best headphones i have ever owed keep up the great work sony
Alyssa,5,Fantastic,10/27/2022,"[This review was collected as part of a promotion.] These are great for any loud place! Originally I bought these for the kids when we attend loud concerts or they need some silent time. The headphones do it's job, that's for sure and everything is pitch quiet. I like the slick black look and the simplicity of the design"
Missiuk,5,Amazing,10/5/2022,[This review was collected as part of a promotion.] These headphones simply put are amazing!!! The sound quality is like no other! For once I am able to make hands free calls and be heard!!!! I love the fact that if you remove them while listening the media pauses. They are very comfortable for wear for long periods of time. The only draw back about them is that the charging cables is only a few inches long.
Jbubman,4,"Very comfortable, large case",10/19/2022,"[This review was collected as part of a promotion.] This is my first pair of over the head style head phones and I'm shocked at home comfortable these are. There is slight padding at the top of the head and the ears are very nicely padded. The noise canceling is pretty impressive. To get the full ability to optimize you will have to download the app. Out of the box there is a setting that pauses your music if you start talking, the ability to turn this off is easy to do in the app. The only negative I can see is that because these headphones don't fold the case is very large. They sound great and you can dial in whatever sound mix you want in the app."
Gwen75,5,The best noise Cancelling headset,10/9/2022,[This review was collected as part of a promotion.] The noise cancellation on this headphones is awesome. I tried this feature while on a plane and so far i could barely hear anything. It feels light and fits me perfectly. The battery takes awhile to drain even with the noise cancellation in use. Awesome features with high quality. I would definitely recommend Sony - WH-1000XM5 Wireless Noise Canceling Headphones.
jenynyc,4,Never experienced anything like these headphones!,11/7/2022,"[This review was collected as part of a promotion.] These are truly headphones of the future. It was handy having them pause my music whenever I slipped them off to hear something in the house, I also liked the different controls that are right on the headphones themselves. I did notice that if I wore a thick headband or tried wearing them over a hat, they would go into standby mode as it couldn't detect if I was still listening. I consider that a good thing though, this standby mode preserved battery life whenever I took them off and forgot to power them down. The design is extremely comfortable, I nearly forgot I was wearing them a few times. Not heavy at all very comfortable on the ears and sides of the head. Lastly, I have to talk about the audio quality. I felt absolutely spoiled by how good everything sounded. I found myself using them for video games as well as music and immersive content like interactive audio or ASMR. These are hands down my favorite headphones for anything audio intensive."
Elise55A,5,Best noice cancellation out there,10/9/2022,[This review was collected as part of a promotion.] I'll preface this by saying I have 5 kids so noice cancellation is a passion of mine. Not only could I not hear my kids stomping around on the floor above me but I missed a delivery guy timing my bell and pounding on the door that's how excellent these are. On top of that pairing is a breeze and they work awesome for gaming as well I was hearing every single thing. Sound is crisp and clean. Was honestly shocked with the noise cancellation it by far has exceeded expectations.
mltex,5,Phenomenal!!,10/27/2022,"[This review was collected as part of a promotion.] Long story short: these headphones are really, really good. The sound quality is superb. As an avid music listener, I feel super spoiled when listening to my favorite songs with these--the sound is crisp and the base and treble are just right. The noise canceling is impressive as well--I live in a rather noisy urban environment, and these headphones do a fantastic job of blocking garden-variety white noise and even louder sounds like construction. The design is sleek and sophisticated, and the headphones are lightweight for the size. Overall, I adore these headphones and highly recommend this pair if you are in the market for some new ones!"
Lauren,5,AMAZING,10/6/2022,"[This review was collected as part of a promotion.] these headphones are amazing! I was so excited to try them. My family and I are huge audio files, so this is very important to us. I highly recommend for those who like high quality sound!"
dreamgirl48,5,Awesome,10/7/2022,[This review was collected as part of a promotion.] These are awesome. They actually work unlike them other ones out there that don't work for nothing. Now I can sleep in peace without listening to my husband snore.
Jcorndog,4,Amazing Headphones,2/14/2023,"I needed sound proof headphones for work and I'm glad I bit the bullet and chose Sony. The sound is incredible, the fit is comfortable, the battery life is perfect, and the easy access functions are a dream. I only have one complaint: my greasy fingers leave marks all over the headpiece. I realize I'm a fan of hand creams and soft skin, but I am a bit disappointed how easily my fingers leave grease marks. The design of the headphones are beautiful too, wouldn't change a thing except maybe the material it's made from. Something I'll consider next time"
BMCc,3,Wanted to like it but…,10/22/2022,"I bought these mainly for sure travel. So the ANC and comfort were really important. Neither were s expected. The head band became uncomfortable an hour into a three hour flight and the ANC didn't worked about as well as my apple AirPod pros. Muffled the airplane noise a bit, but not to the level I expected. I have a pair of 8 year old Sonys that work better. Needs adjustable ANC. Returned the head phones to place of purchase."
Lorenzo,5,Apple fan opted for these over the AirPods Max,10/24/2023,"I'm an Apple fan, but I couldn't justify the price and weight of the AirPods Max. I used the WH-1000XM2 for many years, and the WH-1000XM5 are better in (almost) everything: great sound quality, noise cancellation, design, light weight, incredible battery life. The only downside for me compared to the older model is that they don't fold, therefore the case is very big and it's more inconvenient to travel with them."
Jose,1,Do not order from walmart,12/4/2023,"Recently ordered these headphones and Walmart delivered them to the incorrect address, when contact was made they offered no help or solutions as they claimed once delivered it is not their responsibility, i have video and picture proof of the incorrect address and still no assistance is offered, be careful with their delivery as clearly its not professional or double checked."
Korbin,5,Solid buy! Very happy.,11/1/2023,"As an Apple fanboy, it took a lot of willpower to buy these instead of the Airpod Maxes! Sony's XM5's are leading review charts for a reason. Great sound, not too heavy to wear, and transitions between audio sources (music vs. call) well. The app interface is a little wonky, but I've enjoyed the noise cancellation, ""talk to mute"" functions, etc."
